##FastQC	0.11.7
>>Basic Statistics	pass
#Measure	Value
Filename	ERR458885.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1228207
Sequences flagged as poor quality	0
Sequence length	51
%GC	42
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.455495694129734	31.0	30.0	33.0	27.0	34.0
2	28.61171284645015	31.0	28.0	31.0	16.0	34.0
3	27.40187036875706	31.0	25.0	31.0	16.0	34.0
4	30.960618201980612	35.0	28.0	37.0	19.0	37.0
5	33.42010100903187	35.0	32.0	37.0	28.0	37.0
6	34.43108205701482	35.0	35.0	37.0	31.0	37.0
7	34.843459612264056	35.0	35.0	37.0	32.0	37.0
8	34.9179828807359	35.0	35.0	37.0	32.0	37.0
9	36.57337158964246	38.0	35.0	39.0	32.0	39.0
10	36.66437823591626	39.0	35.0	39.0	32.0	39.0
11	36.633892332481416	39.0	35.0	39.0	32.0	39.0
12	36.52138279622246	38.0	35.0	39.0	32.0	39.0
13	36.55605447615915	38.0	35.0	39.0	32.0	39.0
14	37.65385883649906	39.0	36.0	41.0	32.0	41.0
15	37.69133541821533	39.0	36.0	41.0	32.0	41.0
16	37.67518667455893	39.0	36.0	41.0	32.0	41.0
17	37.49243490714513	39.0	36.0	41.0	32.0	41.0
18	37.49377507211732	39.0	36.0	41.0	32.0	41.0
19	37.56202415390891	39.0	36.0	41.0	32.0	41.0
20	37.59396420961613	39.0	36.0	41.0	32.0	41.0
21	37.554237192916176	39.0	36.0	41.0	32.0	41.0
22	37.402772496818535	39.0	36.0	40.0	32.0	41.0
23	37.330235049954936	39.0	36.0	40.0	32.0	41.0
24	37.369824467699665	39.0	36.0	41.0	32.0	41.0
25	37.385848639520866	39.0	36.0	41.0	32.0	41.0
26	37.32477505827601	39.0	36.0	40.0	32.0	41.0
27	37.22777349420741	39.0	36.0	40.0	31.0	41.0
28	37.15061304812625	39.0	36.0	40.0	31.0	41.0
29	37.13956523615319	39.0	36.0	40.0	31.0	41.0
30	37.1044009682407	39.0	36.0	40.0	31.0	41.0
31	37.090829965958505	39.0	36.0	40.0	31.0	41.0
32	37.05560544761592	39.0	36.0	40.0	31.0	41.0
33	37.008655707059155	39.0	36.0	40.0	30.0	41.0
34	36.939699089811405	39.0	36.0	40.0	30.0	41.0
35	36.87427689306444	39.0	36.0	40.0	30.0	41.0
36	36.687678054269355	39.0	35.0	40.0	30.0	41.0
37	36.67050016813127	39.0	35.0	40.0	30.0	41.0
38	36.65893778491736	38.0	35.0	40.0	30.0	41.0
39	36.60114378113787	38.0	35.0	40.0	30.0	41.0
40	36.52426667491718	38.0	35.0	40.0	30.0	41.0
41	36.443244501944704	38.0	35.0	40.0	30.0	41.0
42	36.08799249637887	38.0	35.0	40.0	29.0	41.0
43	36.29019701076447	38.0	35.0	40.0	30.0	41.0
44	36.396454343608205	38.0	35.0	40.0	30.0	41.0
45	36.4687442751914	39.0	35.0	40.0	30.0	41.0
46	36.41270893261478	39.0	35.0	40.0	30.0	41.0
47	36.332352771153396	39.0	35.0	40.0	30.0	41.0
48	36.21635603770374	39.0	35.0	40.0	30.0	41.0
49	36.09599359065695	39.0	35.0	40.0	30.0	41.0
50	35.93575024405495	39.0	35.0	40.0	30.0	41.0
51	34.72997874136851	38.0	33.0	40.0	27.0	41.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	0.7137157828632574
1101	2	2.3154141909759254
1101	3	2.523973665403844
1101	4	3.7440225876039115
1101	5	1.7793615269116074
1101	6	1.0719858102661917
1101	7	0.7147480100970114
1101	8	0.6029946846795866
1101	9	0.529425963240385
1101	10	0.6026867460450873
1101	11	0.5447980855122623
1101	12	0.5972539984268721
1101	13	0.3458620938520838
1101	14	0.7462311986621373
1101	15	0.7012255076008174
1101	16	0.6309946439820706
1101	17	0.47965048481847106
1101	18	0.625589476022185
1101	19	0.5668078259561113
1101	20	0.5846391485849765
1101	21	0.5930955446948687
1101	22	0.7560339696972775
1101	23	0.5067324816057734
1101	24	0.5801701927681577
1101	25	0.5888970887158393
1101	26	0.3721019693556826
1101	27	0.39795704808400245
1101	28	0.47474611544718925
1101	29	0.47660753369726194
1101	30	0.4303072124049976
1101	31	0.48271932510068893
1101	32	0.4734582857116436
1101	33	0.39221174166422657
1101	34	0.45272030364975535
1101	35	0.4984786716884315
1101	36	0.5788950627866214
1101	37	0.4463668470509532
1101	38	0.59538724032533
1101	39	0.23607351352647044
1101	40	0.22917237005179203
1101	41	0.22814458979109276
1101	42	0.564738384862217
1101	43	0.5859118890295605
1101	44	0.4953890613177663
1101	45	0.34908942167681545
1101	46	0.45437627754863996
1101	47	0.6674713571197088
1101	48	0.5270970952422402
1101	49	0.6065260117839699
1101	50	0.3672342529791024
1101	51	0.8090471353602808
1102	1	0.36856637208884635
1102	2	0.8621681892924258
1102	3	1.9392040946967732
1102	4	2.4053862239675503
1102	5	1.1370267205142994
1102	6	0.6143363994917834
1102	7	0.3935464107704121
1102	8	0.28770638501628554
1102	9	0.11170710802152684
1102	10	0.2612305170888547
1102	11	0.19856492052910113
1102	12	0.08331776105313793
1102	13	0.13021605008103876
1102	14	0.20084504546348825
1102	15	0.14417058335838817
1102	16	0.1512703173827461
1102	17	0.3439497272427161
1102	18	0.4103116982444064
1102	19	0.2355578259561142
1102	20	0.11001793646376257
1102	21	0.14000737129419605
1102	22	0.22754070370400825
1102	23	0.023136101134390685
1102	24	0.23346880387926916
1102	25	0.23804481598856597
1102	26	0.19640752491123692
1102	27	0.38592001104696294
1102	28	0.4127038174673885
1102	29	0.3652386363908704
1102	30	0.09465380331408824
1102	31	0.07911031836668059
1102	32	-0.026525931460071206
1102	33	0.1665172972197766
1102	34	0.051562896242352
1102	35	0.10641743431469308
1102	36	0.1322041957832525
1102	37	0.19894996994657532
1102	38	0.014963208338798495
1102	39	-0.04880127603581741
1102	40	-0.1806287663118411
1102	41	-0.15189013243112726
1102	42	0.22009402459286065
1102	43	0.19904846310362956
1102	44	-0.006862622183916756
1102	45	0.17184299911789225
1102	46	0.16012122704358944
1102	47	0.16518284701869845
1102	48	0.051776177733820816
1102	49	-0.11043526767730327
1102	50	-0.2669881796808298
1102	51	0.07912289293603436
1103	1	0.13699301498637695
1103	2	2.7643369593181824
1103	3	-0.28633257600122164
1103	4	-0.18380300767158175
1103	5	0.19697000049796287
1103	6	0.10972556673435463
1103	7	0.03584611391799086
1103	8	0.26180345889955703
1103	9	0.15859486953437596
1103	10	0.0014493083183566569
1103	11	0.15101552365783277
1103	12	0.26217968933735847
1103	13	-0.019891735619786743
1103	14	0.07614494101541425
1103	15	0.04791981766761921
1103	16	0.1649594940492065
1103	17	0.14171410652272698
1103	18	0.3442620343630196
1103	19	0.36070114756194727
1103	20	0.2579611732546141
1103	21	0.11174111116351781
1103	22	0.48712558150761964
